name,fac
WOODMAN HORTICULTURAL COLD STORAGE,065
WOODMAN HORTICULTURAL FARMHOUSE,121
WOODMAN HORTICULTURAL GARAGE,264
WOODSIDE APARTMENTS A-C,281
WOODSIDE APARTMENTS D-F,282
WOODSIDE APARTMENTS G-I,283
WOODSIDE APARTMENTS J-L,284
WOODSIDE APARTMENTS M-O,285
WOODSIDE APTS COMMUNITY BUILDING,280
WOODSIDE APTS P-R,286
ZAIS HALL,047
